SA2,Dec 1999 median,Dec 2000 median,Dec 2001 median,Dec 2002 median,Dec 2003 median,Dec 2004 median,Dec 2005 median,Dec 2006 median,Dec 2007 median,Dec 2008 median,Dec 2009 median,Dec 2010 median,Dec 2011 median,Dec 2012 median,Dec 2013 median,Dec 2014 median,Dec 2015 median,Dec 2016 median,Dec 2017 median,Dec 2018 median,Dec 2019 median,Dec 2020 median,Dec 2021 median,Dec 2022 median,Dec 2023 median,Dec 2024 median,Dec 2025 median,Dec 2026 median
Craigieburn - South,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Mickleham - Yuroke,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Craigieburn - North West,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Craigieburn - West,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Roxburgh Park (South) - Somerton,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Roxburgh Park - North,170.0,175.0,185.0,190.0,200.0,200.0,205.0,220.0,240.0,280.0,300.0,310.0,320.0,320.0,320.0,330.0,340.0,350.0,370.0,380.0,380.0,390.0,390.0,420.0,485.0,-1,-1,-1
Rutherglen,130.0,130.0,138.0,150.0,160.0,170.0,185.0,195.0,200.0,220.0,230.0,220.0,250.0,238.0,255.0,270.0,270.0,280.0,280.0,310.0,328.0,310.0,380.0,400.0,445.0,-1,-1,-1
Beechworth,130.0,130.0,138.0,150.0,160.0,170.0,185.0,195.0,200.0,220.0,230.0,220.0,250.0,238.0,255.0,270.0,270.0,280.0,280.0,310.0,328.0,310.0,380.0,400.0,445.0,-1,-1,-1
Chiltern - Indigo Valley,130.0,130.0,138.0,150.0,160.0,170.0,185.0,195.0,200.0,220.0,230.0,220.0,250.0,238.0,255.0,270.0,270.0,280.0,280.0,310.0,328.0,310.0,380.0,400.0,445.0,-1,-1,-1
Bayswater,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Knoxfield - Scoresby,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Lysterfield,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Rowville - Central,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Rowville - North,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Rowville - South,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Wantirna,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Wantirna South,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Boronia,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Ferntree Gully - North,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Ferntree Gully (South) - Upper Ferntree Gully,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
The Basin,180.0,185.0,195.0,205.0,210.0,220.0,230.0,250.0,278.0,300.0,320.0,340.0,340.0,350.0,360.0,360.0,375.0,385.0,400.0,410.0,420.0,420.0,430.0,470.0,535.0,-1,-1,-1
Kyneton,150.0,160.0,163.0,177.0,195.0,200.0,210.0,211.0,220.0,250.0,280.0,310.0,320.0,320.0,341.0,350.0,360.0,360.0,400.0,420.0,440.0,450.0,460.0,500.0,520.0,-1,-1,-1
Woodend,150.0,160.0,163.0,177.0,195.0,200.0,210.0,211.0,220.0,250.0,280.0,310.0,320.0,320.0,341.0,350.0,360.0,360.0,400.0,420.0,440.0,450.0,460.0,500.0,520.0,-1,-1,-1
Gisborne,150.0,160.0,163.0,177.0,195.0,200.0,210.0,211.0,220.0,250.0,280.0,310.0,320.0,320.0,341.0,350.0,360.0,360.0,400.0,420.0,440.0,450.0,460.0,500.0,520.0,-1,-1,-1
Macedon,150.0,160.0,163.0,177.0,195.0,200.0,210.0,211.0,220.0,250.0,280.0,310.0,320.0,320.0,341.0,350.0,360.0,360.0,400.0,420.0,440.0,450.0,460.0,500.0,520.0,-1,-1,-1
Riddells Creek,150.0,160.0,163.0,177.0,195.0,200.0,210.0,211.0,220.0,250.0,280.0,310.0,320.0,320.0,341.0,350.0,360.0,360.0,400.0,420.0,440.0,450.0,460.0,500.0,520.0,-1,-1,-1
Romsey,150.0,160.0,163.0,177.0,195.0,200.0,210.0,211.0,220.0,250.0,280.0,310.0,320.0,320.0,341.0,350.0,360.0,360.0,400.0,420.0,440.0,450.0,460.0,500.0,520.0,-1,-1,-1
Templestowe,220.0,230.0,250.0,250.0,258.0,260.0,280.0,300.0,350.0,360.0,375.0,380.0,400.0,410.0,420.0,430.0,450.0,450.0,460.0,470.0,475.0,460.0,480.0,500.0,600.0,-1,-1,-1
Templestowe Lower,220.0,230.0,250.0,250.0,258.0,260.0,280.0,300.0,350.0,360.0,375.0,380.0,400.0,410.0,420.0,430.0,450.0,450.0,460.0,470.0,475.0,460.0,480.0,500.0,600.0,-1,-1,-1
Doncaster East - North,220.0,230.0,250.0,250.0,258.0,260.0,280.0,300.0,350.0,360.0,375.0,380.0,400.0,410.0,420.0,430.0,450.0,450.0,460.0,470.0,475.0,460.0,480.0,500.0,600.0,-1,-1,-1
Doncaster East - South,220.0,230.0,250.0,250.0,258.0,260.0,280.0,300.0,350.0,360.0,375.0,380.0,400.0,410.0,420.0,430.0,450.0,450.0,460.0,470.0,475.0,460.0,480.0,500.0,600.0,-1,-1,-1
Donvale - Park Orchards,220.0,230.0,250.0,250.0,258.0,260.0,280.0,300.0,350.0,360.0,375.0,380.0,400.0,410.0,420.0,430.0,450.0,450.0,460.0,470.0,475.0,460.0,480.0,500.0,600.0,-1,-1,-1
Warrandyte - Wonga Park,220.0,230.0,250.0,250.0,258.0,260.0,280.0,300.0,350.0,360.0,375.0,380.0,400.0,410.0,420.0,430.0,450.0,450.0,460.0,470.0,475.0,460.0,480.0,500.0,600.0,-1,-1,-1
Nunawading,220.0,230.0,250.0,250.0,258.0,260.0,280.0,300.0,350.0,360.0,375.0,380.0,400.0,410.0,420.0,430.0,450.0,450.0,460.0,470.0,475.0,460.0,480.0,500.0,600.0,-1,-1,-1
Braybrook,150.0,160.0,175.0,180.0,185.0,190.0,200.0,220.0,255.0,300.0,300.0,318.0,322.0,330.0,350.0,344.0,350.0,370.0,395.0,400.0,400.0,400.0,380.0,420.0,500.0,-1,-1,-1
Footscray,150.0,160.0,175.0,180.0,185.0,190.0,200.0,220.0,255.0,300.0,300.0,318.0,322.0,330.0,350.0,344.0,350.0,370.0,395.0,400.0,400.0,400.0,380.0,420.0,500.0,-1,-1,-1
Maribyrnong,150.0,160.0,175.0,180.0,185.0,190.0,200.0,220.0,255.0,300.0,300.0,318.0,322.0,330.0,350.0,344.0,350.0,370.0,395.0,400.0,400.0,400.0,380.0,420.0,500.0,-1,-1,-1
Seddon - Kingsville,150.0,160.0,175.0,180.0,185.0,190.0,200.0,220.0,255.0,300.0,300.0,318.0,322.0,330.0,350.0,344.0,350.0,370.0,395.0,400.0,400.0,400.0,380.0,420.0,500.0,-1,-1,-1
West Footscray - Tottenham,150.0,160.0,175.0,180.0,185.0,190.0,200.0,220.0,255.0,300.0,300.0,318.0,322.0,330.0,350.0,344.0,350.0,370.0,395.0,400.0,400.0,400.0,380.0,420.0,500.0,-1,-1,-1
Yarraville,150.0,160.0,175.0,180.0,185.0,190.0,200.0,220.0,255.0,300.0,300.0,318.0,322.0,330.0,350.0,344.0,350.0,370.0,395.0,400.0,400.0,400.0,380.0,420.0,500.0,-1,-1,-1
Bayswater North,165.0,175.0,185.0,190.0,195.0,200.0,215.0,230.0,255.0,280.0,300.0,320.0,330.0,330.0,340.0,350.0,360.0,370.0,395.0,400.0,405.0,410.0,430.0,450.0,520.0,-1,-1,-1
Croydon Hills - Warranwood,165.0,175.0,185.0,190.0,195.0,200.0,215.0,230.0,255.0,280.0,300.0,320.0,330.0,330.0,340.0,350.0,360.0,370.0,395.0,400.0,405.0,410.0,430.0,450.0,520.0,-1,-1,-1
Ringwood,165.0,175.0,185.0,190.0,195.0,200.0,215.0,230.0,255.0,280.0,300.0,320.0,330.0,330.0,340.0,350.0,360.0,370.0,395.0,400.0,405.0,410.0,430.0,450.0,520.0,-1,-1,-1
Ringwood East,165.0,175.0,185.0,190.0,195.0,200.0,215.0,230.0,255.0,280.0,300.0,320.0,330.0,330.0,340.0,350.0,360.0,370.0,395.0,400.0,405.0,410.0,430.0,450.0,520.0,-1,-1,-1
Ringwood North,165.0,175.0,185.0,190.0,195.0,200.0,215.0,230.0,255.0,280.0,300.0,320.0,330.0,330.0,340.0,350.0,360.0,370.0,395.0,400.0,405.0,410.0,430.0,450.0,520.0,-1,-1,-1
Croydon - East,165.0,175.0,185.0,190.0,195.0,200.0,215.0,230.0,255.0,280.0,300.0,320.0,330.0,330.0,340.0,350.0,360.0,370.0,395.0,400.0,405.0,410.0,430.0,450.0,520.0,-1,-1,-1
Croydon - West,165.0,175.0,185.0,190.0,195.0,200.0,215.0,230.0,255.0,280.0,300.0,320.0,330.0,330.0,340.0,350.0,360.0,370.0,395.0,400.0,405.0,410.0,430.0,450.0,520.0,-1,-1,-1
Croydon South,165.0,175.0,185.0,190.0,195.0,200.0,215.0,230.0,255.0,280.0,300.0,320.0,330.0,330.0,340.0,350.0,360.0,370.0,395.0,400.0,405.0,410.0,430.0,450.0,520.0,-1,-1,-1
Vermont,165.0,175.0,185.0,190.0,195.0,200.0,215.0,230.0,255.0,280.0,300.0,320.0,330.0,330.0,340.0,350.0,360.0,370.0,395.0,400.0,405.0,410.0,430.0,450.0,520.0,-1,-1,-1
Carlton,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Docklands,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
East Melbourne,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Flemington Racecourse,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Kensington (Vic.),270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Parkville,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
South Yarra - West,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Melbourne CBD - East,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Melbourne CBD - North,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Melbourne CBD - West,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
North Melbourne,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Royal Botanic Gardens Victoria,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Southbank (West) - South Wharf,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Southbank - East,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
West Melbourne - Residential,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Carlton North - Princes Hill,270.0,280.0,290.0,305.0,300.0,310.0,320.0,340.0,380.0,410.0,425.0,450.0,450.0,450.0,450.0,450.0,450.0,470.0,500.0,500.0,525.0,380.0,380.0,540.0,600.0,-1,-1,-1
Diggers Rest,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Melton West,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Rockbank - Mount Cottrell,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Taylors Hill,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Burnside,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Burnside Heights,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Caroline Springs,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Brookfield,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Cobblebank - Strathtulloh,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Eynesbury - Exford,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Fraser Rise - Plumpton,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Hillside,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Kurunjang - Toolern Vale,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Melton,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Melton South - Weir Views,155.0,160.0,170.0,185.0,190.0,195.0,210.0,210.0,240.0,260.0,275.0,290.0,300.0,300.0,310.0,320.0,335.0,340.0,355.0,370.0,380.0,380.0,380.0,408.0,470.0,-1,-1,-1
Irymple,135.0,145.0,150.0,160.0,160.0,170.0,175.0,185.0,190.0,190.0,200.0,200.0,220.0,230.0,230.0,245.0,250.0,270.0,280.0,285.0,302.0,330.0,330.0,350.0,380.0,-1,-1,-1
Merbein,135.0,145.0,150.0,160.0,160.0,170.0,175.0,185.0,190.0,190.0,200.0,200.0,220.0,230.0,230.0,245.0,250.0,270.0,280.0,285.0,302.0,330.0,330.0,350.0,380.0,-1,-1,-1
Mildura Surrounds,135.0,145.0,150.0,160.0,160.0,170.0,175.0,185.0,190.0,190.0,200.0,200.0,220.0,230.0,230.0,245.0,250.0,270.0,280.0,285.0,302.0,330.0,330.0,350.0,380.0,-1,-1,-1
Red Cliffs,135.0,145.0,150.0,160.0,160.0,170.0,175.0,185.0,190.0,190.0,200.0,200.0,220.0,230.0,230.0,245.0,250.0,270.0,280.0,285.0,302.0,330.0,330.0,350.0,380.0,-1,-1,-1
Mildura - North,135.0,145.0,150.0,160.0,160.0,170.0,175.0,185.0,190.0,190.0,200.0,200.0,220.0,230.0,230.0,245.0,250.0,270.0,280.0,285.0,302.0,330.0,330.0,350.0,380.0,-1,-1,-1
Mildura - South,135.0,145.0,150.0,160.0,160.0,170.0,175.0,185.0,190.0,190.0,200.0,200.0,220.0,230.0,230.0,245.0,250.0,270.0,280.0,285.0,302.0,330.0,330.0,350.0,380.0,-1,-1,-1
Kilmore - Broadford,130.0,135.0,145.0,150.0,170.0,180.0,180.0,180.0,210.0,235.0,240.0,270.0,280.0,285.0,285.0,290.0,300.0,300.0,330.0,340.0,350.0,360.0,380.0,400.0,440.0,-1,-1,-1
Nagambie,130.0,135.0,145.0,150.0,170.0,180.0,180.0,180.0,210.0,235.0,240.0,270.0,280.0,285.0,285.0,290.0,300.0,300.0,330.0,340.0,350.0,360.0,380.0,400.0,440.0,-1,-1,-1
Seymour,130.0,135.0,145.0,150.0,170.0,180.0,180.0,180.0,210.0,235.0,240.0,270.0,280.0,285.0,285.0,290.0,300.0,300.0,330.0,340.0,350.0,360.0,380.0,400.0,440.0,-1,-1,-1
Seymour Surrounds,130.0,135.0,145.0,150.0,170.0,180.0,180.0,180.0,210.0,235.0,240.0,270.0,280.0,285.0,285.0,290.0,300.0,300.0,330.0,340.0,350.0,360.0,380.0,400.0,440.0,-1,-1,-1
Yea,130.0,135.0,145.0,150.0,170.0,180.0,180.0,180.0,210.0,235.0,240.0,270.0,280.0,285.0,285.0,290.0,300.0,300.0,330.0,340.0,350.0,360.0,380.0,400.0,440.0,-1,-1,-1
Wallan,130.0,135.0,145.0,150.0,170.0,180.0,180.0,180.0,210.0,235.0,240.0,270.0,280.0,285.0,285.0,290.0,300.0,300.0,330.0,340.0,350.0,360.0,380.0,400.0,440.0,-1,-1,-1
Cobram,130.0,130.0,130.0,140.0,150.0,150.0,160.0,168.0,170.0,180.0,190.0,200.0,220.0,223.0,230.0,238.0,235.0,250.0,270.0,270.0,275.0,280.0,300.0,350.0,420.0,-1,-1,-1
Moira,130.0,130.0,130.0,140.0,150.0,150.0,160.0,168.0,170.0,180.0,190.0,200.0,220.0,223.0,230.0,238.0,235.0,250.0,270.0,270.0,275.0,280.0,300.0,350.0,420.0,-1,-1,-1
Numurkah,130.0,130.0,130.0,140.0,150.0,150.0,160.0,168.0,170.0,180.0,190.0,200.0,220.0,223.0,230.0,238.0,235.0,250.0,270.0,270.0,275.0,280.0,300.0,350.0,420.0,-1,-1,-1
Yarrawonga,130.0,130.0,130.0,140.0,150.0,150.0,160.0,168.0,170.0,180.0,190.0,200.0,220.0,223.0,230.0,238.0,235.0,250.0,270.0,270.0,275.0,280.0,300.0,350.0,420.0,-1,-1,-1
Hughesdale,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Ashwood - Chadstone,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Glen Waverley - East,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Glen Waverley - West,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Mount Waverley - North,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Mount Waverley - South,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Mulgrave,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Oakleigh - Huntingdale,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Wheelers Hill,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Clayton (North) - Notting Hill,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Clayton - Central,200.0,200.0,220.0,220.0,230.0,240.0,250.0,260.0,300.0,350.0,360.0,365.0,380.0,375.0,385.0,399.0,410.0,420.0,435.0,450.0,460.0,425.0,430.0,490.0,580.0,-1,-1,-1
Ascot Vale,180.0,190.0,200.0,210.0,210.0,210.0,230.0,240.0,280.0,310.0,330.0,350.0,350.0,350.0,360.0,370.0,375.0,380.0,395.0,400.0,415.0,385.0,390.0,440.0,500.0,-1,-1,-1
Flemington,180.0,190.0,200.0,210.0,210.0,210.0,230.0,240.0,280.0,310.0,330.0,350.0,350.0,350.0,360.0,370.0,375.0,380.0,395.0,400.0,415.0,385.0,390.0,440.0,500.0,-1,-1,-1
Moonee Ponds,180.0,190.0,200.0,210.0,210.0,210.0,230.0,240.0,280.0,310.0,330.0,350.0,350.0,350.0,360.0,370.0,375.0,380.0,395.0,400.0,415.0,385.0,390.0,440.0,500.0,-1,-1,-1
Essendon (West) - Aberfeldie,180.0,190.0,200.0,210.0,210.0,210.0,230.0,240.0,280.0,310.0,330.0,350.0,350.0,350.0,360.0,370.0,375.0,380.0,395.0,400.0,415.0,385.0,390.0,440.0,500.0,-1,-1,-1
Essendon - East,180.0,190.0,200.0,210.0,210.0,210.0,230.0,240.0,280.0,310.0,330.0,350.0,350.0,350.0,360.0,370.0,375.0,380.0,395.0,400.0,415.0,385.0,390.0,440.0,500.0,-1,-1,-1
Airport West,180.0,190.0,200.0,210.0,210.0,210.0,230.0,240.0,280.0,310.0,330.0,350.0,350.0,350.0,360.0,370.0,375.0,380.0,395.0,400.0,415.0,385.0,390.0,440.0,500.0,-1,-1,-1
