Region,2018,2019,2020,2021,2022,2023
Alfredton,8 636,9 177,9 858,10 662,11 402,----
Ballarat,7 754,7 789,7 678,7 525,7 401,----
Buninyong,4 721,4 712,4 566,4 407,4 392,----
Delacombe,5 290,5 755,6 304,6 806,7 619,----
Smythes Creek,2 627,2 692,2 703,2 716,2 724,----
Wendouree - Miners Rest,9 088,9 194,9 295,9 357,9 415,----
Ballarat East - Warrenheip,6 065,6 102,6 055,5 970,5 965,----
Ballarat North - Invermay,9 244,9 288,9 267,9 168,9 218,----
Canadian - Mount Clear,7 863,7 923,7 888,7 832,7 982,----
Sebastopol - Redan,8 448,8 420,8 334,8 142,8 080,----
Bacchus Marsh Surrounds,3 945,4 008,4 060,4 086,4 077,----
Creswick - Clunes,4 693,4 684,4 690,4 631,4 613,----
Daylesford,5 685,5 741,5 770,5 806,5 829,----
Gordon (Vic.),3 836,3 916,3 960,4 027,4 014,----
Avoca,1 953,1 951,1 936,1 928,1 947,----
Beaufort,2 717,2 773,2 794,2 805,2 750,----
Golden Plains - North,2 962,3 016,3 011,3 013,3 052,----
Maryborough (Vic.),4 408,4 410,4 346,4 303,4 353,----
Maryborough Surrounds,3 167,3 145,3 087,3 129,3 131,----
Bendigo,9 774,9 861,9 835,9 672,9 534,----
California Gully - Eaglehawk,7 799,7 891,7 980,8 007,8 179,----
East Bendigo - Kennington,8 404,8 437,8 371,8 349,8 259,----
Flora Hill - Spring Gully,6 352,6 357,6 335,6 124,6 137,----
Kangaroo Flat - Golden Square,12 373,12 483,12 522,12 473,12 555,----
Maiden Gully,3 400,3 400,3 442,3 445,3 530,----
Strathfieldsaye,5 857,6 064,6 236,6 370,6 551,----
White Hills - Ascot,8 412,8 714,8 913,9 066,9 309,----
Bendigo Surrounds - South,5 031,5 116,5 220,5 288,5 398,----
Castlemaine,6 581,6 550,6 524,6 433,6 378,----
Castlemaine Surrounds,5 300,5 303,5 325,5 408,5 387,----
Heathcote,2 740,2 787,2 791,2 813,2 867,----
Kyneton,6 078,6 115,6 169,6 203,6 175,----
Woodend,4 498,4 576,4 579,4 666,4 613,----
Bendigo Surrounds - North,2 889,2 956,2 988,3 032,3 121,----
Loddon,4 064,4 084,4 055,4 054,4 013,----
Bannockburn,4 368,4 494,4 635,4 738,4 907,----
Golden Plains - South,4 699,4 820,4 964,5 145,5 208,----
Winchelsea,3 822,3 935,4 047,4 136,4 174,----
Belmont,9 470,9 678,9 774,9 653,9 602,----
Geelong,9 304,9 352,9 349,9 273,9 277,----
Geelong West - Hamlyn Heights,13 858,14 069,14 315,14 240,14 159,----
Highton,15 274,15 486,15 462,15 472,15 817,----
Lara,13 311,13 584,13 698,13 776,14 042,----
Leopold,8 255,8 222,8 169,8 039,8 058,----
Newcomb - Moolap,9 447,9 623,9 553,9 414,9 289,----
Newtown (Vic.),6 827,6 851,6 773,6 608,6 478,----
North Geelong - Bell Park,9 554,9 780,9 775,9 593,9 606,----
Charlemont,3 975,4 893,5 865,6 791,7 901,----
Corio - Lovely Banks,12 308,12 436,12 501,12 298,12 140,----
Grovedale - Mount Duneed,14 186,14 753,15 449,15 964,16 629,----
Norlane,5 910,5 982,5 997,5 970,5 890,----
Clifton Springs,8 781,9 218,9 469,9 630,9 841,----
Lorne - Anglesea,3 230,3 309,3 384,3 485,3 451,----
Portarlington,4 289,4 432,4 633,4 848,4 990,----
Point Lonsdale - Queenscliff,2 220,2 294,2 401,2 513,2 474,----
Torquay,13 161,13 848,14 470,15 091,15 527,----
Barwon Heads - Armstrong Creek,5 824,6 245,6 671,7 020,7 552,----
Ocean Grove,10 444,10 796,11 043,11 222,11 489,----
Alexandra,3 784,3 790,3 760,3 784,3 767,----
Euroa,3 596,3 653,3 657,3 657,3 651,----
Kilmore - Broadford,9 259,9 529,9 627,9 666,9 740,----
Mansfield (Vic.),5 543,5 704,5 911,6 055,6 178,----
Nagambie,2 488,2 504,2 548,2 578,2 603,----
Seymour,4 055,4 063,4 025,3 994,4 001,----
Seymour Surrounds,3 066,3 097,3 073,3 077,3 023,----
Upper Yarra Valley,149,158,163,172,175,----
Yea,2 215,2 279,2 331,2 394,2 465,----
Benalla,6 028,6 034,6 013,5 949,5 895,----
Benalla Surrounds,2 276,2 266,2 281,2 263,2 255,----
Rutherglen,2 385,2 371,2 346,2 313,2 323,----
Wangaratta,11 468,11 561,11 593,11 578,11 642,----
Wangaratta Surrounds,6 008,5 979,5 932,5 875,5 844,----
Beechworth,2 867,2 878,2 876,2 861,2 770,----
Bright - Mount Beauty,5 185,5 220,5 298,5 372,5 409,----
Chiltern - Indigo Valley,1 979,1 982,1 997,1 985,1 996,----
Myrtleford,2 822,2 802,2 780,2 739,2 726,----
Towong,3 516,3 521,3 478,3 446,3 394,----
West Wodonga,9 714,9 706,9 645,9 584,9 627,----
Yackandandah,2 939,2 993,3 054,3 106,3 190,----
Baranduda - Leneva,6 963,7 323,7 670,8 031,8 409,----
Wodonga,9 840,9 717,9 539,9 303,9 110,----
Drouin,10 680,11 073,11 494,11 737,12 186,----
Mount Baw Baw Region,3 859,3 925,3 937,3 956,3 940,----
Trafalgar (Vic.),4 869,4 868,4 862,4 890,4 917,----
Warragul,12 476,12 954,13 426,13 970,14 322,----
Bairnsdale,8 845,8 906,8 849,8 827,8 885,----
Bruthen - Omeo,4 793,4 816,4 833,4 922,4 955,----
Lakes Entrance,5 560,5 615,5 667,5 704,5 730,----
Orbost,3 658,3 683,3 705,3 719,3 668,----
Paynesville,3 283,3 307,3 270,3 258,3 234,----
Foster,5 043,5 057,5 116,5 091,5 071,----
French Island,61,65,68,71,75,----
Korumburra,5 764,5 854,5 961,5 900,5 883,----
Leongatha,6 549,6 563,6 510,6 420,6 492,----
Phillip Island,6 832,7 126,7 381,7 669,7 793,----
Wilsons Promontory,12,11,11,11,11,----
Wonthaggi - Inverloch,13 586,14 009,14 426,14 856,15 131,----
Churchill,7 561,7 530,7 504,7 430,7 410,----
Moe - Newborough,10 439,10 470,10 466,10 325,10 326,----
Morwell,8 688,8 717,8 720,8 669,8 626,----
Yallourn North - Glengarry,3 067,3 055,3 036,3 028,3 041,----
Traralgon - East,7 364,7 400,7 411,7 368,7 397,----
Traralgon - West,10 374,10 456,10 510,10 448,10 490,----
Alps - West,20,15,15,10,10,----
Longford - Loch Sport,2 785,2 877,2 929,2 974,2 963,----
Maffra,8 660,8 688,8 720,8 660,8 685,----
Rosedale,3 424,3 407,3 340,3 331,3 310,----
Sale,9 237,9 233,9 218,9 162,9 171,----
Yarram,3 195,3 176,3 181,3 166,3 171,----
Brunswick East,9 985,10 229,10 674,10 597,10 941,----
Brunswick West,11 020,11 180,11 333,10 913,11 104,----
Pascoe Vale South,7 250,7 314,7 270,7 040,7 015,----
Brunswick - North,10 764,10 874,10 985,10 170,10 346,----
Brunswick - South,11 501,11 622,11 532,10 636,10 852,----
Coburg - East,9 834,9 872,9 761,9 309,9 530,----
Coburg - West,10 070,10 026,9 959,9 736,9 780,----
Alphington - Fairfield,6 781,6 854,6 897,6 434,6 504,----
Thornbury,14 024,14 043,14 068,13 744,13 834,----
Northcote - East,11 412,11 470,11 454,10 793,10 787,----
Northcote - West,7 889,7 960,8 001,7 681,7 729,----
Ascot Vale,11 129,11 095,11 078,10 751,10 633,----
Flemington,8 070,7 942,7 813,6 947,7 018,----
Moonee Ponds,11 074,11 361,11 819,11 606,11 774,----
Essendon (West) - Aberfeldie,11 762,11 743,11 689,11 029,11 042,----
Essendon - East,9 042,9 115,9 138,8 779,8 751,----
Carlton,18 310,18 473,18 256,14 785,15 975,----
Docklands,13 395,14 194,14 448,13 687,14 208,----
East Melbourne,4 024,3 990,3 919,3 591,3 512,----
Flemington Racecourse,74,72,74,77,77,----
Kensington (Vic.),8 785,8 854,8 658,8 207,8 347,----
Parkville,6 759,6 833,6 897,6 185,6 313,----
South Yarra - West,4 975,5 019,4 869,4 489,4 539,----
West Melbourne - Industrial,3,3,----,----,----,----
Melbourne CBD - East,11 047,11 241,11 059,9 018,9 592,----
Melbourne CBD - North,16 338,17 519,18 280,16 528,17 779,----
Melbourne CBD - West,17 042,17 652,17 691,15 127,16 346,----
North Melbourne,14 264,14 421,14 497,12 870,13 587,----
Southbank (West) - South Wharf,6 486,6 579,6 427,5 589,5 825,----
Southbank - East,14 047,15 048,15 597,14 844,15 653,----
West Melbourne - Residential,5 829,6 287,6 708,6 744,7 114,----
Albert Park,11 485,11 601,11 475,10 929,11 048,----
Elwood,12 549,12 401,12 131,11 478,11 438,----
Port Melbourne,12 168,12 037,11 699,11 256,11 297,----
St Kilda East,13 750,13 741,13 388,12 588,12 596,----
Port Melbourne Industrial,710,1 143,1 522,1 741,1 962,----
South Melbourne,9 381,9 359,9 276,8 599,8 703,----
St Kilda - Central,11 437,11 536,11 298,10 152,10 233,----
St Kilda - West,12 631,12 685,12 484,11 155,11 340,----
Armadale,6 864,6 956,6 955,6 439,6 415,----
Prahran - Windsor,16 846,16 678,16 497,15 477,15 445,----
Toorak,8 908,8 816,8 577,8 133,8 071,----
South Yarra - North,10 537,10 687,10 636,9 888,10 216,----
South Yarra - South,9 187,9 220,8 835,7 859,7 817,----
Abbotsford,7 893,7 955,8 017,7 675,7 869,----
Carlton North - Princes Hill,6 711,6 697,6 626,6 118,6 056,----
Collingwood,7 921,8 161,8 304,7 800,8 118,----
Fitzroy,9 020,9 050,8 994,8 381,8 565,----
Fitzroy North,9 823,9 910,9 918,9 379,9 442,----
Clifton Hill - Alphington,7 046,7 169,7 251,7 040,7 324,----
Richmond (South) - Cremorne,15 166,15 215,15 063,14 347,14 331,----
Richmond - North,11 782,12 071,12 017,11 188,11 304,----
Ashburton (Vic.),5 292,5 334,5 331,5 080,5 073,----
Balwyn,10 877,10 844,10 716,10 182,10 111,----
Balwyn North,14 182,14 280,14 276,13 871,13 765,----
Camberwell,14 501,14 494,14 293,13 500,13 421,----
Glen Iris - East,11 418,11 471,11 334,11 011,10 925,----
Hawthorn East,11 792,11 778,11 728,11 209,11 476,----
Kew East,4 363,4 405,4 408,4 236,4 282,----
Surrey Hills (West) - Canterbury,10 945,10 889,10 661,10 102,9 942,----
Hawthorn - North,8 334,8 135,7 930,7 202,7 348,----
Hawthorn - South,10 264,10 319,10 059,9 060,9 237,----
Kew - South,8 490,8 460,8 235,7 612,7 676,----
Kew - West,9 461,9 418,9 224,8 719,8 787,----
Bulleen,7 201,7 242,7 232,7 019,7 070,----
Doncaster,15 137,15 764,16 376,16 261,16 631,----
Templestowe,10 959,10 863,10 643,10 208,10 188,----
Templestowe Lower,8 399,8 448,8 559,8 356,8 509,----
Doncaster East - North,10 104,10 125,10 105,9 739,9 554,----
Doncaster East - South,9 367,9 746,9 803,9 485,9 534,----
Blackburn,14 777,14 995,15 099,14 621,14 672,----
Blackburn South,6 971,7 022,7 008,6 792,6 752,----
Box Hill,16 551,17 152,17 674,16 953,17 487,----
Box Hill North,12 458,12 529,12 601,12 201,12 267,----
Burwood (Vic.),9 751,9 792,9 774,8 976,9 446,----
Burwood East,7 088,7 162,7 191,6 947,7 159,----
Surrey Hills (East) - Mont Albert,7 109,7 134,7 029,6 645,6 705,----
Beaumaris,8 754,8 736,8 670,8 463,8 353,----
Brighton (Vic.),14 981,14 862,14 543,13 723,13 619,----
Brighton East,10 248,10 276,10 304,10 094,10 244,----
Highett (West) - Cheltenham,7 862,8 031,8 212,8 126,8 187,----
Hampton,12 154,12 179,12 184,11 934,11 986,----
Sandringham - Black Rock,10 802,10 852,10 801,10 614,10 584,----
Bentleigh - McKinnon,16 187,16 606,16 777,16 594,16 838,----
Carnegie,14 020,14 146,14 099,13 381,13 607,----
Caulfield - North,15 135,15 195,15 283,14 714,15 074,----
Caulfield - South,11 754,11 774,11 610,11 249,11 322,----
Elsternwick,8 392,8 447,8 399,8 071,8 090,----
Hughesdale,5 565,5 546,5 560,5 330,5 360,----
Murrumbeena,6 988,6 982,6 874,6 575,6 669,----
Ormond - Glen Huntly,10 242,10 224,10 155,9 533,9 671,----
Bentleigh East - North,10 274,10 576,10 874,10 863,10 999,----
Bentleigh East - South,8 799,8 904,9 007,9 024,8 993,----
Aspendale Gardens - Waterways,6 367,6 319,6 179,5 924,5 903,----
Braeside,25,37,32,22,22,----
Carrum - Patterson Lakes,8 016,7 992,7 894,7 714,7 691,----
Chelsea - Bonbeach,9 768,9 829,9 886,9 757,9 798,----
Chelsea Heights,3 533,3 529,3 492,3 372,3 321,----
Highett (East) - Cheltenham ,15 641,15 867,16 062,15 574,15 666,----
Edithvale - Aspendale,8 841,9 001,8 957,8 842,8 868,----
Mentone,9 045,9 062,9 005,8 594,8 574,----
Moorabbin - Heatherton,6 123,6 170,6 111,5 959,5 922,----
Moorabbin Airport,10,16,21,26,26,----
Mordialloc - Parkdale,13 936,14 171,14 202,13 924,13 935,----
Malvern - Glen Iris,14 117,14 232,14 120,13 456,13 581,----
Malvern East,15 671,15 711,15 610,14 920,15 179,----
Bundoora - East,6 654,6 648,6 595,6 314,6 281,----
Greensborough,13 725,13 585,13 368,12 956,12 793,----
Heidelberg - Rosanna,10 147,10 436,10 613,10 221,10 373,----
Heidelberg West,10 616,10 998,11 029,10 674,10 822,----
Ivanhoe,8 596,8 718,8 652,8 347,8 376,----
Ivanhoe East - Eaglemont,5 221,5 243,5 116,4 963,4 964,----
Montmorency - Briar Hill,10 608,10 523,10 384,10 083,10 025,----
Viewbank - Yallambie,11 862,11 838,11 772,11 597,11 571,----
Watsonia,6 118,6 083,6 047,5 908,5 805,----
Kingsbury,9 162,8 928,8 665,7 794,8 045,----
Preston - East,15 718,15 817,15 881,15 459,15 531,----
Preston - West,9 130,9 252,9 273,8 854,8 878,----
Reservoir - North East,10 672,10 805,10 843,10 512,10 594,----
Reservoir - North West,6 302,6 323,6 277,5 911,5 788,----
Reservoir - South East,9 156,9 266,9 201,8 719,8 818,----
Reservoir - South West,10 478,10 517,10 398,9 939,9 987,----
Eltham,15 738,15 645,15 436,15 041,14 722,----
Hurstbridge,2 438,2 434,2 402,2 328,2 283,----
Kinglake,2 863,2 877,2 864,2 889,2 903,----
Panton Hill - St Andrews,3 613,3 537,3 419,3 294,3 306,----
Plenty - Yarrambat,6 588,6 577,6 440,6 182,6 117,----
Research - North Warrandyte,4 666,4 656,4 619,4 584,4 499,----
Wattle Glen - Diamond Creek,9 955,9 936,9 908,9 775,9 626,----
Bundoora - North,5 749,5 668,5 570,5 314,5 452,----
Bundoora - West,4 308,4 280,4 208,4 004,4 047,----
Mill Park - North,13 281,13 133,12 857,12 240,11 875,----
Mill Park - South,8 556,8 362,8 177,7 724,7 511,----
Thomastown,13 655,13 544,13 347,12 697,12 564,----
Wallan,12 635,13 525,14 413,15 195,16 304,----
Whittlesea,5 769,6 009,6 244,6 838,7 943,----
Epping - East,9 426,9 365,9 207,8 782,8 658,----
Epping - South,5 970,5 956,5 850,5 517,5 366,----
Epping (Vic.) - West,8 497,8 624,8 531,8 265,8 431,----
South Morang - North,8 844,8 939,8 933,8 815,8 867,----
South Morang - South,8 516,8 618,8 667,8 403,8 400,----
Wollert,9 765,11 611,14 013,16 407,18 673,----
Doreen - North,10 069,10 240,10 441,10 575,10 793,----
Doreen - South,5 642,6 223,6 726,6 972,7 325,----
Lalor - East,6 755,6 768,6 680,6 397,6 306,----
Lalor - West,8 831,8 892,8 868,8 624,8 639,----
Mernda - North,6 818,7 252,7 421,7 372,7 523,----
Mernda - South,6 943,7 527,7 922,8 115,8 446,----
Airport West,5 289,5 462,5 402,5 292,5 309,----
Essendon Airport,6,8,11,14,14,----
Keilor,5 418,5 356,5 219,5 058,5 003,----
Niddrie - Essendon West,4 921,5 020,5 080,5 020,5 094,----
